pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;14509900;725.495
1;2000;1318800;659.4
2;4000;3012600;753.15
3;6000;3485200;580.867
4;8000;5219100;652.388
5;10000;5685700;568.57
6;12000;6499300;541.608
7;14000;7761500;554.393
8;16000;9143500;571.469
9;18000;10164300;564.683
10;20000;10686700;534.335
1;2000;1329400;664.7
2;4000;3020700;755.175
3;6000;4119600;686.6
4;8000;4740100;592.513
5;10000;6131100;613.11
6;12000;6532900;544.408
7;14000;9990500;713.607
8;16000;10460200;653.763
9;18000;11199700;622.206
10;20000;11321300;566.065
1;2000;1344200;672.1
2;4000;2911100;727.775
3;6000;3494200;582.367
4;8000;4675900;584.487
5;10000;5918600;591.86
6;12000;7481500;623.458
7;14000;8277200;591.229
8;16000;8927800;557.987
9;18000;13948800;774.933
10;20000;12544600;627.23
