pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;138400;6.92
1;2000;42700;21.35
2;4000;43700;10.925
3;6000;77000;12.8333
4;8000;57700;7.2125
5;10000;72200;7.22
6;12000;73300;6.10833
7;14000;79300;5.66429
8;16000;86500;5.40625
9;18000;128000;7.11111
10;20000;113000;5.65
1;2000;32900;16.45
2;4000;77400;19.35
3;6000;77500;12.9167
4;8000;61100;7.6375
5;10000;58100;5.81
6;12000;61600;5.13333
7;14000;84000;6
8;16000;95900;5.99375
9;18000;96600;5.36667
10;20000;96500;4.825
1;2000;52700;26.35
2;4000;49500;12.375
3;6000;81300;13.55
4;8000;58500;7.3125
5;10000;61900;6.19
6;12000;72700;6.05833
7;14000;100500;7.17857
8;16000;94600;5.9125
9;18000;81100;4.50556
10;20000;86100;4.305
1;2000;35100;17.55
2;4000;74700;18.675
3;6000;70800;11.8
4;8000;92600;11.575
5;10000;56600;5.66
6;12000;108100;9.00833
7;14000;71000;5.07143
8;16000;92400;5.775
9;18000;109400;6.07778
10;20000;80800;4.04
