pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;10550400;527.52
1;2000;1118700;559.35
2;4000;2010700;502.675
3;6000;3316600;552.767
4;8000;4218200;527.275
5;10000;5085900;508.59
6;12000;6662200;555.183
7;14000;7626500;544.75
8;16000;8316600;519.788
9;18000;10576100;587.561
10;20000;10908500;545.425
1;2000;1117400;558.7
2;4000;2697800;674.45
3;6000;3393200;565.533
4;8000;5414500;676.812
5;10000;5681100;568.11
6;12000;6688300;557.358
7;14000;7898200;564.157
8;16000;8275400;517.212
9;18000;12134800;674.156
10;20000;11947100;597.355
1;2000;1209300;604.65
2;4000;1935400;483.85
3;6000;3267600;544.6
4;8000;4515800;564.475
5;10000;6474300;647.43
6;12000;6066500;505.542
7;14000;7190400;513.6
8;16000;9408600;588.038
9;18000;9582300;532.35
10;20000;10972400;548.62
1;2000;1730100;865.05
2;4000;1930400;482.6
3;6000;3235400;539.233
4;8000;4909400;613.675
5;10000;5513800;551.38
6;12000;7533300;627.775
7;14000;8480000;605.714
8;16000;9616500;601.031
9;18000;10787900;599.328
10;20000;14250800;712.54
