pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;1200;0.06
1;2000;600;0.3
2;4000;800;0.2
3;6000;700;0.116667
4;8000;500;0.0625
5;10000;600;0.06
6;12000;400;0.0333333
7;14000;600;0.0428571
8;16000;600;0.0375
9;18000;400;0.0222222
10;20000;600;0.03
1;2000;700;0.35
2;4000;700;0.175
3;6000;700;0.116667
4;8000;400;0.05
5;10000;500;0.05
6;12000;400;0.0333333
7;14000;900;0.0642857
8;16000;500;0.03125
9;18000;500;0.0277778
10;20000;1000;0.05
1;2000;500;0.25
2;4000;500;0.125
3;6000;400;0.0666667
4;8000;400;0.05
5;10000;500;0.05
6;12000;500;0.0416667
7;14000;500;0.0357143
8;16000;500;0.03125
9;18000;500;0.0277778
10;20000;400;0.02
