pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;13936400;696.82
1;2000;1500700;750.35
2;4000;3780100;945.025
3;6000;4410700;735.117
4;8000;6785400;848.175
5;10000;7217600;721.76
6;12000;7865300;655.442
7;14000;10746000;767.571
8;16000;12148900;759.306
9;18000;11544400;641.356
10;20000;16266300;813.315
1;2000;1824700;912.35
2;4000;3721400;930.35
3;6000;4364800;727.467
4;8000;5445900;680.737
5;10000;7705500;770.55
6;12000;7715300;642.942
7;14000;9482700;677.336
8;16000;10532300;658.269
9;18000;11993200;666.289
10;20000;12458200;622.91
1;2000;1697500;848.75
2;4000;3216100;804.025
3;6000;5234900;872.483
4;8000;5339400;667.425
5;10000;6553700;655.37
6;12000;9294400;774.533
7;14000;9548300;682.021
8;16000;10471800;654.487
9;18000;11602000;644.556
10;20000;13022500;651.125
