pozycja;ilosc;czas ca³kowity(ns);czas/ilosc(ns)
0;20000;41700;2.085
1;2000;15400;7.7
2;4000;35200;8.8
3;6000;28300;4.71667
4;8000;39300;4.9125
5;10000;40800;4.08
6;12000;24300;2.025
7;14000;43100;3.07857
8;16000;39000;2.4375
9;18000;30700;1.70556
10;20000;29900;1.495
1;2000;16000;8
2;4000;34600;8.65
3;6000;31100;5.18333
4;8000;25400;3.175
5;10000;45800;4.58
6;12000;29400;2.45
7;14000;28300;2.02143
8;16000;43700;2.73125
9;18000;32600;1.81111
10;20000;23300;1.165
1;2000;9700;4.85
2;4000;33600;8.4
3;6000;40200;6.7
4;8000;26300;3.2875
5;10000;27900;2.79
6;12000;29000;2.41667
7;14000;50700;3.62143
8;16000;31300;1.95625
9;18000;32100;1.78333
10;20000;32600;1.63
