1;2000;18328400;9164.2
2;4000;32915800;8228.95
3;6000;52541400;8756.9
4;8000;61645400;7705.68
5;10000;78024800;7802.48
6;12000;96024500;8002.04
7;14000;157460200;11247.2
8;16000;157323000;9832.69
9;18000;164004500;9111.36
10;20000;154607400;7730.37
1;2000;16013800;8006.9
2;4000;30202800;7550.7
3;6000;51467100;8577.85
4;8000;61288400;7661.05
5;10000;75545400;7554.54
6;12000;87396600;7283.05
7;14000;103149000;7367.79
8;16000;119430400;7464.4
9;18000;143933300;7996.29
10;20000;174558100;8727.91
1;2000;18683100;9341.55
2;4000;31000700;7750.18
3;6000;47144300;7857.38
4;8000;58603200;7325.4
5;10000;77073800;7707.38
6;12000;88054300;7337.86
7;14000;105882600;7563.04
8;16000;155651200;9728.2
9;18000;155305000;8628.06
10;20000;211442200;10572.1
