1;2000;65200;32.6
2;4000;27700;6.925
3;6000;57700;9.61667
4;8000;46700;5.8375
5;10000;49200;4.92
6;12000;40300;3.35833
7;14000;79700;5.69286
8;16000;33500;2.09375
9;18000;24500;1.36111
10;20000;100900;5.045
1;2000;52000;26
2;4000;31000;7.75
3;6000;35900;5.98333
4;8000;42600;5.325
5;10000;38700;3.87
6;12000;39800;3.31667
7;14000;41400;2.95714
8;16000;36800;2.3
9;18000;25600;1.42222
10;20000;21800;1.09
1;2000;39100;19.55
2;4000;19700;4.925
3;6000;65100;10.85
4;8000;44900;5.6125
5;10000;115400;11.54
6;12000;32700;2.725
7;14000;58900;4.20714
8;16000;37800;2.3625
9;18000;58100;3.22778
10;20000;57200;2.86
