pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000;29;0.029
1;1000;6;0.006
2;1000;1;0.001
3;1000;35;0.035
4;1000;20;0.02
5;1000;17;0.017
6;1000;39;0.039
7;1000;41;0.041
8;1000;25;0.025
9;1000;4;0.004
10;1000;11;0.011
11;1000;12;0.012
12;1000;25;0.025
13;1000;29;0.029
14;1000;4;0.004
15;1000;42;0.042
16;1000;36;0.036
17;1000;25;0.025
18;1000;20;0.02
19;1000;3;0.003
20;1000;25;0.025
21;1000;13;0.013
22;1000;25;0.025
23;1000;18;0.018
24;1000;11;0.011
25;1000;7;0.007
26;1000;39;0.039
27;1000;29;0.029
28;1000;31;0.031
29;1000;36;0.036
30;1000;31;0.031
31;1000;28;0.028
32;1000;10;0.01
33;1000;5;0.005
34;1000;22;0.022
35;1000;25;0.025
36;1000;25;0.025
37;1000;20;0.02
38;1000;17;0.017
39;1000;10;0.01
40;1000;18;0.018
41;1000;24;0.024
42;1000;18;0.018
43;1000;10;0.01
44;1000;11;0.011
45;1000;40;0.04
46;1000;23;0.023
47;1000;32;0.032
48;1000;23;0.023
49;1000;4;0.004
50;1000;19;0.019
51;1000;2;0.002
52;1000;31;0.031
53;1000;30;0.03
54;1000;35;0.035
55;1000;26;0.026
56;1000;8;0.008
57;1000;31;0.031
58;1000;22;0.022
59;1000;27;0.027
60;1000;2;0.002
61;1000;13;0.013
62;1000;38;0.038
63;1000;33;0.033
64;1000;18;0.018
65;1000;35;0.035
66;1000;33;0.033
67;1000;10;0.01
68;1000;26;0.026
69;1000;10;0.01
70;1000;22;0.022
71;1000;20;0.02
72;1000;15;0.015
73;1000;41;0.041
74;1000;2;0.002
75;1000;26;0.026
76;1000;1;0.001
77;1000;7;0.007
78;1000;23;0.023
79;1000;42;0.042
80;1000;28;0.028
81;1000;26;0.026
82;1000;8;0.008
83;1000;11;0.011
84;1000;5;0.005
85;1000;40;0.04
86;1000;13;0.013
87;1000;14;0.014
88;1000;9;0.009
