pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;233;0.000233
1;1000000;216;0.000216
2;1000000;178;0.000178
3;1000000;166;0.000166
4;1000000;184;0.000184
5;1000000;185;0.000185
6;1000000;208;0.000208
7;1000000;145;0.000145
8;1000000;144;0.000144
9;1000000;138;0.000138
10;1000000;139;0.000139
11;1000000;142;0.000142
12;1000000;145;0.000145
13;1000000;136;0.000136
14;1000000;138;0.000138
15;1000000;138;0.000138
16;1000000;135;0.000135
17;1000000;140;0.00014
18;1000000;141;0.000141
19;1000000;142;0.000142
20;1000000;148;0.000148
21;1000000;142;0.000142
22;1000000;164;0.000164
23;1000000;138;0.000138
24;1000000;137;0.000137
25;1000000;149;0.000149
26;1000000;137;0.000137
27;1000000;149;0.000149
28;1000000;173;0.000173
29;1000000;157;0.000157
30;1000000;152;0.000152
31;1000000;141;0.000141
32;1000000;150;0.00015
33;1000000;138;0.000138
34;1000000;149;0.000149
35;1000000;141;0.000141
36;1000000;142;0.000142
37;1000000;143;0.000143
38;1000000;142;0.000142
39;1000000;144;0.000144
40;1000000;140;0.00014
41;1000000;141;0.000141
42;1000000;140;0.00014
43;1000000;135;0.000135
44;1000000;143;0.000143
45;1000000;140;0.00014
46;1000000;135;0.000135
47;1000000;138;0.000138
48;1000000;137;0.000137
49;1000000;140;0.00014
50;1000000;138;0.000138
51;1000000;143;0.000143
52;1000000;136;0.000136
53;1000000;140;0.00014
54;1000000;138;0.000138
55;1000000;142;0.000142
56;1000000;141;0.000141
57;1000000;140;0.00014
58;1000000;136;0.000136
59;1000000;139;0.000139
60;1000000;147;0.000147
61;1000000;138;0.000138
62;1000000;141;0.000141
63;1000000;136;0.000136
64;1000000;137;0.000137
65;1000000;138;0.000138
66;1000000;140;0.00014
67;1000000;136;0.000136
68;1000000;141;0.000141
69;1000000;145;0.000145
70;1000000;144;0.000144
71;1000000;144;0.000144
72;1000000;139;0.000139
73;1000000;139;0.000139
74;1000000;138;0.000138
75;1000000;173;0.000173
76;1000000;159;0.000159
77;1000000;148;0.000148
78;1000000;175;0.000175
79;1000000;146;0.000146
80;1000000;169;0.000169
81;1000000;170;0.00017
82;1000000;166;0.000166
83;1000000;225;0.000225
84;1000000;196;0.000196
85;1000000;258;0.000258
86;1000000;211;0.000211
87;1000000;209;0.000209
88;1000000;228;0.000228
89;1000000;229;0.000229
90;1000000;392;0.000392
91;1000000;227;0.000227
92;1000000;210;0.00021
93;1000000;201;0.000201
94;1000000;253;0.000253
95;1000000;227;0.000227
96;1000000;198;0.000198
97;1000000;214;0.000214
98;1000000;201;0.000201
99;1000000;208;0.000208
100;1000000;209;0.000209
101;1000000;188;0.000188
102;1000000;191;0.000191
103;1000000;201;0.000201
104;1000000;204;0.000204
105;1000000;215;0.000215
106;1000000;175;0.000175
107;1000000;208;0.000208
108;1000000;205;0.000205
109;1000000;190;0.00019
110;1000000;227;0.000227
111;1000000;184;0.000184
112;1000000;193;0.000193
113;1000000;166;0.000166
114;1000000;185;0.000185
115;1000000;165;0.000165
116;1000000;173;0.000173
117;1000000;170;0.00017
118;1000000;165;0.000165
119;1000000;224;0.000224
120;1000000;184;0.000184
121;1000000;223;0.000223
122;1000000;193;0.000193
123;1000000;172;0.000172
124;1000000;179;0.000179
125;1000000;192;0.000192
126;1000000;183;0.000183
127;1000000;213;0.000213
128;1000000;168;0.000168
129;1000000;169;0.000169
130;1000000;210;0.00021
131;1000000;167;0.000167
132;1000000;188;0.000188
133;1000000;204;0.000204
134;1000000;201;0.000201
135;1000000;182;0.000182
136;1000000;173;0.000173
137;1000000;176;0.000176
138;1000000;183;0.000183
139;1000000;188;0.000188
140;1000000;171;0.000171
141;1000000;171;0.000171
142;1000000;186;0.000186
143;1000000;162;0.000162
144;1000000;161;0.000161
145;1000000;187;0.000187
146;1000000;172;0.000172
147;1000000;168;0.000168
148;1000000;163;0.000163
149;1000000;159;0.000159
150;1000000;220;0.00022
151;1000000;171;0.000171
152;1000000;194;0.000194
153;1000000;179;0.000179
154;1000000;179;0.000179
155;1000000;168;0.000168
156;1000000;160;0.00016
157;1000000;163;0.000163
158;1000000;163;0.000163
159;1000000;160;0.00016
160;1000000;169;0.000169
161;1000000;210;0.00021
162;1000000;215;0.000215
163;1000000;196;0.000196
164;1000000;168;0.000168
165;1000000;169;0.000169
166;1000000;180;0.00018
167;1000000;157;0.000157
168;1000000;160;0.00016
169;1000000;211;0.000211
170;1000000;210;0.00021
171;1000000;205;0.000205
172;1000000;217;0.000217
173;1000000;248;0.000248
174;1000000;216;0.000216
175;1000000;210;0.00021
176;1000000;222;0.000222
177;1000000;211;0.000211
178;1000000;215;0.000215
179;1000000;209;0.000209
180;1000000;223;0.000223
181;1000000;236;0.000236
182;1000000;245;0.000245
183;1000000;220;0.00022
184;1000000;178;0.000178
185;1000000;184;0.000184
186;1000000;177;0.000177
187;1000000;209;0.000209
188;1000000;195;0.000195
189;1000000;175;0.000175
190;1000000;176;0.000176
191;1000000;182;0.000182
192;1000000;213;0.000213
193;1000000;192;0.000192
194;1000000;183;0.000183
195;1000000;191;0.000191
196;1000000;205;0.000205
197;1000000;184;0.000184
198;1000000;215;0.000215
199;1000000;186;0.000186
