pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;446;0.000446
1;1000000;427;0.000427
2;1000000;352;0.000352
3;1000000;348;0.000348
4;1000000;334;0.000334
5;1000000;265;0.000265
6;1000000;272;0.000272
7;1000000;256;0.000256
8;1000000;273;0.000273
9;1000000;257;0.000257
10;1000000;245;0.000245
11;1000000;231;0.000231
12;1000000;264;0.000264
13;1000000;249;0.000249
14;1000000;257;0.000257
15;1000000;275;0.000275
16;1000000;282;0.000282
17;1000000;290;0.00029
18;1000000;275;0.000275
19;1000000;264;0.000264
20;1000000;278;0.000278
21;1000000;264;0.000264
22;1000000;280;0.00028
23;1000000;268;0.000268
24;1000000;260;0.00026
25;1000000;264;0.000264
26;1000000;280;0.00028
27;1000000;246;0.000246
28;1000000;285;0.000285
29;1000000;277;0.000277
30;1000000;262;0.000262
31;1000000;247;0.000247
32;1000000;263;0.000263
33;1000000;241;0.000241
34;1000000;268;0.000268
35;1000000;262;0.000262
36;1000000;272;0.000272
37;1000000;238;0.000238
38;1000000;262;0.000262
39;1000000;243;0.000243
40;1000000;278;0.000278
41;1000000;269;0.000269
42;1000000;298;0.000298
43;1000000;297;0.000297
44;1000000;292;0.000292
45;1000000;281;0.000281
46;1000000;396;0.000396
47;1000000;159;0.000159
48;1000000;143;0.000143
49;1000000;146;0.000146
50;1000000;149;0.000149
51;1000000;161;0.000161
52;1000000;144;0.000144
53;1000000;154;0.000154
54;1000000;148;0.000148
55;1000000;153;0.000153
56;1000000;146;0.000146
57;1000000;149;0.000149
58;1000000;162;0.000162
59;1000000;162;0.000162
60;1000000;154;0.000154
61;1000000;163;0.000163
62;1000000;155;0.000155
63;1000000;160;0.00016
64;1000000;163;0.000163
65;1000000;203;0.000203
66;1000000;179;0.000179
67;1000000;167;0.000167
68;1000000;153;0.000153
69;1000000;286;0.000286
70;1000000;182;0.000182
71;1000000;174;0.000174
72;1000000;165;0.000165
73;1000000;164;0.000164
74;1000000;174;0.000174
75;1000000;162;0.000162
76;1000000;195;0.000195
77;1000000;184;0.000184
78;1000000;187;0.000187
79;1000000;231;0.000231
80;1000000;217;0.000217
81;1000000;203;0.000203
82;1000000;229;0.000229
83;1000000;213;0.000213
84;1000000;226;0.000226
85;1000000;195;0.000195
86;1000000;222;0.000222
87;1000000;205;0.000205
88;1000000;199;0.000199
89;1000000;235;0.000235
90;1000000;251;0.000251
91;1000000;223;0.000223
92;1000000;222;0.000222
93;1000000;216;0.000216
94;1000000;177;0.000177
95;1000000;183;0.000183
96;1000000;189;0.000189
97;1000000;167;0.000167
98;1000000;165;0.000165
99;1000000;161;0.000161
100;1000000;178;0.000178
101;1000000;161;0.000161
102;1000000;165;0.000165
103;1000000;157;0.000157
104;1000000;165;0.000165
105;1000000;195;0.000195
106;1000000;166;0.000166
107;1000000;163;0.000163
108;1000000;197;0.000197
109;1000000;170;0.00017
110;1000000;157;0.000157
111;1000000;206;0.000206
112;1000000;213;0.000213
113;1000000;205;0.000205
114;1000000;238;0.000238
115;1000000;184;0.000184
116;1000000;187;0.000187
117;1000000;185;0.000185
118;1000000;201;0.000201
119;1000000;191;0.000191
120;1000000;172;0.000172
121;1000000;177;0.000177
122;1000000;172;0.000172
123;1000000;215;0.000215
124;1000000;199;0.000199
125;1000000;196;0.000196
126;1000000;185;0.000185
127;1000000;167;0.000167
128;1000000;218;0.000218
129;1000000;170;0.00017
130;1000000;160;0.00016
131;1000000;162;0.000162
132;1000000;178;0.000178
133;1000000;197;0.000197
134;1000000;164;0.000164
135;1000000;155;0.000155
136;1000000;159;0.000159
137;1000000;154;0.000154
138;1000000;154;0.000154
139;1000000;194;0.000194
140;1000000;176;0.000176
141;1000000;167;0.000167
142;1000000;153;0.000153
143;1000000;173;0.000173
144;1000000;174;0.000174
145;1000000;178;0.000178
146;1000000;179;0.000179
147;1000000;179;0.000179
148;1000000;155;0.000155
149;1000000;157;0.000157
150;1000000;160;0.00016
151;1000000;168;0.000168
152;1000000;178;0.000178
153;1000000;159;0.000159
154;1000000;156;0.000156
155;1000000;156;0.000156
156;1000000;171;0.000171
157;1000000;185;0.000185
158;1000000;200;0.0002
159;1000000;193;0.000193
160;1000000;183;0.000183
161;1000000;194;0.000194
162;1000000;166;0.000166
163;1000000;172;0.000172
164;1000000;181;0.000181
165;1000000;215;0.000215
166;1000000;179;0.000179
167;1000000;201;0.000201
168;1000000;594;0.000594
169;1000000;224;0.000224
170;1000000;221;0.000221
171;1000000;210;0.00021
172;1000000;239;0.000239
173;1000000;207;0.000207
174;1000000;245;0.000245
175;1000000;243;0.000243
176;1000000;207;0.000207
177;1000000;211;0.000211
178;1000000;227;0.000227
179;1000000;211;0.000211
180;1000000;215;0.000215
181;1000000;187;0.000187
182;1000000;174;0.000174
183;1000000;191;0.000191
184;1000000;174;0.000174
185;1000000;184;0.000184
186;1000000;162;0.000162
187;1000000;192;0.000192
188;1000000;172;0.000172
189;1000000;192;0.000192
190;1000000;253;0.000253
191;1000000;204;0.000204
192;1000000;252;0.000252
193;1000000;205;0.000205
194;1000000;221;0.000221
195;1000000;215;0.000215
196;1000000;188;0.000188
197;1000000;194;0.000194
198;1000000;200;0.0002
199;1000000;211;0.000211
