pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);
0;1000;72;0,072;SH;0;1000;76;0,076;SHT;0;1000;29;0,029;SDHT
1;1000;11;0,011;;1;1000;87;0,087;;1;1000;6;0,006;
2;1000;35;0,035;;2;1000;56;0,056;;2;1000;1;0,001;
3;1000;44;0,044;;3;1000;55;0,055;;3;1000;35;0,035;
4;1000;39;0,039;;4;1000;32;0,032;;4;1000;20;0,02;
5;1000;10;0,01;;5;1000;59;0,059;;5;1000;17;0,017;
6;1000;25;0,025;;6;1000;7;0,007;;6;1000;39;0,039;
7;1000;13;0,013;;7;1000;36;0,036;;7;1000;41;0,041;
8;1000;118;0,118;;8;1000;53;0,053;;8;1000;25;0,025;
9;1000;113;0,113;;9;1000;62;0,062;;9;1000;4;0,004;
10;1000;46;0,046;;10;1000;39;0,039;;10;1000;11;0,011;
11;1000;133;0,133;;11;1000;65;0,065;;11;1000;12;0,012;
12;1000;68;0,068;;12;1000;39;0,039;;12;1000;25;0,025;
13;1000;110;0,11;;13;1000;57;0,057;;13;1000;29;0,029;
14;1000;57;0,057;;14;1000;16;0,016;;14;1000;4;0,004;
15;1000;13;0,013;;15;1000;14;0,014;;15;1000;42;0,042;
16;1000;11;0,011;;16;1000;29;0,029;;16;1000;36;0,036;
17;1000;87;0,087;;17;1000;24;0,024;;17;1000;25;0,025;
18;1000;105;0,105;;18;1000;19;0,019;;18;1000;20;0,02;
19;1000;55;0,055;;19;1000;67;0,067;;19;1000;3;0,003;
20;1000;53;0,053;;20;1000;28;0,028;;20;1000;25;0,025;
21;1000;10;0,01;;21;1000;10;0,01;;21;1000;13;0,013;
22;1000;29;0,029;;22;1000;51;0,051;;22;1000;25;0,025;
23;1000;74;0,074;;23;1000;50;0,05;;23;1000;18;0,018;
24;1000;56;0,056;;24;1000;39;0,039;;24;1000;11;0,011;
25;1000;42;0,042;;25;1000;70;0,07;;25;1000;7;0,007;
26;1000;25;0,025;;26;1000;68;0,068;;26;1000;39;0,039;
27;1000;82;0,082;;27;1000;11;0,011;;27;1000;29;0,029;
28;1000;1;0,001;;28;1000;41;0,041;;28;1000;31;0,031;
29;1000;44;0,044;;29;1000;58;0,058;;29;1000;36;0,036;
30;1000;52;0,052;;30;1000;52;0,052;;30;1000;31;0,031;
31;1000;27;0,027;;31;1000;3;0,003;;31;1000;28;0,028;
32;1000;51;0,051;;32;1000;47;0,047;;32;1000;10;0,01;
33;1000;10;0,01;;33;1000;24;0,024;;33;1000;5;0,005;
34;1000;63;0,063;;34;1000;33;0,033;;34;1000;22;0,022;
35;1000;47;0,047;;35;1000;9;0,009;;35;1000;25;0,025;
36;1000;40;0,04;;36;1000;23;0,023;;36;1000;25;0,025;
37;1000;93;0,093;;37;1000;76;0,076;;37;1000;20;0,02;
38;1000;58;0,058;;38;1000;24;0,024;;38;1000;17;0,017;
39;1000;62;0,062;;39;1000;7;0,007;;39;1000;10;0,01;
40;1000;79;0,079;;40;1000;32;0,032;;40;1000;18;0,018;
41;1000;65;0,065;;41;1000;33;0,033;;41;1000;24;0,024;
42;1000;23;0,023;;42;1000;6;0,006;;42;1000;18;0,018;
43;1000;21;0,021;;43;1000;68;0,068;;43;1000;10;0,01;
44;1000;11;0,011;;44;1000;68;0,068;;44;1000;11;0,011;
45;1000;12;0,012;;45;1000;15;0,015;;45;1000;40;0,04;
46;1000;78;0,078;;46;1000;64;0,064;;46;1000;23;0,023;
47;1000;66;0,066;;47;1000;6;0,006;;47;1000;32;0,032;
48;1000;10;0,01;;48;1000;30;0,03;;48;1000;23;0,023;
49;1000;46;0,046;;49;1000;27;0,027;;49;1000;4;0,004;
50;1000;75;0,075;;50;1000;15;0,015;;50;1000;19;0,019;
51;1000;34;0,034;;51;1000;1;0,001;;51;1000;2;0,002;
52;1000;3;0,003;;52;1000;2;0,002;;52;1000;31;0,031;
53;1000;52;0,052;;53;1000;17;0,017;;53;1000;30;0,03;
54;1000;9;0,009;;54;1000;50;0,05;;54;1000;35;0,035;
55;1000;59;0,059;;55;1000;68;0,068;;55;1000;26;0,026;
56;1000;72;0,072;;56;1000;65;0,065;;56;1000;8;0,008;
57;1000;29;0,029;;57;1000;83;0,083;;57;1000;31;0,031;
58;1000;50;0,05;;58;1000;69;0,069;;58;1000;22;0,022;
59;1000;26;0,026;;59;1000;20;0,02;;59;1000;27;0,027;
60;1000;72;0,072;;60;1000;27;0,027;;60;1000;2;0,002;
61;1000;26;0,026;;61;1000;89;0,089;;61;1000;13;0,013;
62;1000;28;0,028;;62;1000;74;0,074;;62;1000;38;0,038;
63;1000;59;0,059;;63;1000;63;0,063;;63;1000;33;0,033;
64;1000;31;0,031;;64;1000;1;0,001;;64;1000;18;0,018;
65;1000;99;0,099;;65;1000;1;0,001;;65;1000;35;0,035;
66;1000;89;0,089;;66;1000;75;0,075;;66;1000;33;0,033;
67;1000;16;0,016;;67;1000;68;0,068;;67;1000;10;0,01;
68;1000;66;0,066;;68;1000;59;0,059;;68;1000;26;0,026;
69;1000;16;0,016;;69;1000;30;0,03;;69;1000;10;0,01;
70;1000;40;0,04;;70;1000;43;0,043;;70;1000;22;0,022;
71;1000;62;0,062;;71;1000;56;0,056;;71;1000;20;0,02;
72;1000;34;0,034;;72;1000;70;0,07;;72;1000;15;0,015;
73;1000;9;0,009;;73;1000;53;0,053;;73;1000;41;0,041;
74;1000;60;0,06;;74;1000;1;0,001;;74;1000;2;0,002;
75;1000;3;0,003;;75;1000;85;0,085;;75;1000;26;0,026;
76;1000;67;0,067;;76;1000;47;0,047;;76;1000;1;0,001;
77;1000;15;0,015;;77;1000;74;0,074;;77;1000;7;0,007;
78;1000;32;0,032;;78;1000;40;0,04;;78;1000;23;0,023;
79;1000;61;0,061;;79;1000;34;0,034;;79;1000;42;0,042;
