pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);
0;1000000;240;0,00024;SH;0;1000000;214;0,000214;SHT;0;1000000;233;0,000233;SDH
1;1000000;188;0,000188;;1;1000000;175;0,000175;;1;1000000;216;0,000216;
2;1000000;260;0,00026;;2;1000000;183;0,000183;;2;1000000;178;0,000178;
3;1000000;409;0,000409;;3;1000000;161;0,000161;;3;1000000;166;0,000166;
4;1000000;525;0,000525;;4;1000000;154;0,000154;;4;1000000;184;0,000184;
5;1000000;509;0,000509;;5;1000000;174;0,000174;;5;1000000;185;0,000185;
6;1000000;631;0,000631;;6;1000000;161;0,000161;;6;1000000;208;0,000208;
7;1000000;751;0,000751;;7;1000000;157;0,000157;;7;1000000;145;0,000145;
8;1000000;834;0,000834;;8;1000000;154;0,000154;;8;1000000;144;0,000144;
9;1000000;902;0,000902;;9;1000000;131;0,000131;;9;1000000;138;0,000138;
10;1000000;986;0,000986;;10;1000000;166;0,000166;;10;1000000;139;0,000139;
11;1000000;1045;0,001045;;11;1000000;233;0,000233;;11;1000000;142;0,000142;
12;1000000;1080;0,00108;;12;1000000;227;0,000227;;12;1000000;145;0,000145;
13;1000000;1138;0,001138;;13;1000000;227;0,000227;;13;1000000;136;0,000136;
14;1000000;1232;0,001232;;14;1000000;211;0,000211;;14;1000000;138;0,000138;
15;1000000;1294;0,001294;;15;1000000;205;0,000205;;15;1000000;138;0,000138;
16;1000000;1355;0,001355;;16;1000000;228;0,000228;;16;1000000;135;0,000135;
17;1000000;1404;0,001404;;17;1000000;214;0,000214;;17;1000000;140;0,00014;
18;1000000;1443;0,001443;;18;1000000;221;0,000221;;18;1000000;141;0,000141;
19;1000000;1516;0,001516;;19;1000000;246;0,000246;;19;1000000;142;0,000142;
20;1000000;1591;0,001591;;20;1000000;261;0,000261;;20;1000000;148;0,000148;
21;1000000;1631;0,001631;;21;1000000;285;0,000285;;21;1000000;142;0,000142;
22;1000000;1672;0,001672;;22;1000000;253;0,000253;;22;1000000;164;0,000164;
23;1000000;1732;0,001732;;23;1000000;240;0,00024;;23;1000000;138;0,000138;
