pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;240;0.00024
1;1000000;188;0.000188
2;1000000;260;0.00026
3;1000000;409;0.000409
4;1000000;525;0.000525
5;1000000;509;0.000509
6;1000000;631;0.000631
7;1000000;751;0.000751
8;1000000;834;0.000834
9;1000000;902;0.000902
10;1000000;986;0.000986
11;1000000;1045;0.001045
12;1000000;1080;0.00108
13;1000000;1138;0.001138
14;1000000;1232;0.001232
15;1000000;1294;0.001294
16;1000000;1355;0.001355
17;1000000;1404;0.001404
18;1000000;1443;0.001443
19;1000000;1516;0.001516
20;1000000;1591;0.001591
21;1000000;1631;0.001631
22;1000000;1672;0.001672
23;1000000;1732;0.001732
24;1000000;1807;0.001807
25;1000000;1857;0.001857
26;1000000;1904;0.001904
27;1000000;1980;0.00198
28;1000000;2076;0.002076
29;1000000;2104;0.002104
30;1000000;2140;0.00214
31;1000000;2261;0.002261
32;1000000;2305;0.002305
33;1000000;2348;0.002348
34;1000000;2460;0.00246
35;1000000;2524;0.002524
36;1000000;2568;0.002568
37;1000000;2719;0.002719
38;1000000;2738;0.002738
39;1000000;2811;0.002811
40;1000000;2913;0.002913
41;1000000;2932;0.002932
42;1000000;3109;0.003109
43;1000000;3147;0.003147
44;1000000;3171;0.003171
45;1000000;3231;0.003231
46;1000000;3301;0.003301
47;1000000;3394;0.003394
48;1000000;3428;0.003428
49;1000000;3546;0.003546
50;1000000;3560;0.00356
51;1000000;3673;0.003673
52;1000000;3713;0.003713
53;1000000;3820;0.00382
54;1000000;3844;0.003844
55;1000000;3944;0.003944
56;1000000;3985;0.003985
57;1000000;4084;0.004084
58;1000000;4131;0.004131
59;1000000;4151;0.004151
60;1000000;4338;0.004338
61;1000000;4442;0.004442
62;1000000;4387;0.004387
63;1000000;4592;0.004592
64;1000000;4580;0.00458
65;1000000;4667;0.004667
66;1000000;4715;0.004715
67;1000000;4795;0.004795
68;1000000;4854;0.004854
69;1000000;5002;0.005002
70;1000000;5074;0.005074
71;1000000;5152;0.005152
72;1000000;5228;0.005228
73;1000000;5255;0.005255
74;1000000;5424;0.005424
75;1000000;5360;0.00536
76;1000000;5517;0.005517
77;1000000;5943;0.005943
78;1000000;5548;0.005548
79;1000000;5767;0.005767
80;1000000;5917;0.005917
81;1000000;5856;0.005856
82;1000000;5892;0.005892
83;1000000;6035;0.006035
84;1000000;6207;0.006207
85;1000000;6213;0.006213
86;1000000;6285;0.006285
87;1000000;6302;0.006302
88;1000000;6815;0.006815
89;1000000;6613;0.006613
90;1000000;6442;0.006442
91;1000000;6641;0.006641
92;1000000;6877;0.006877
