pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms);;pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;134;0,000134;SH;0;1000000;107;0,000107;SHT;0;1000000;115;0,000115
1;1000000;135;0,000135;;1;1000000;179;0,000179;;1;1000000;165;0,000165
2;1000000;148;0,000148;;2;1000000;171;0,000171;;2;1000000;186;0,000186
3;1000000;148;0,000148;;3;1000000;192;0,000192;;3;1000000;221;0,000221
4;1000000;145;0,000145;;4;1000000;171;0,000171;;4;1000000;183;0,000183
5;1000000;148;0,000148;;5;1000000;188;0,000188;;5;1000000;250;0,00025
6;1000000;121;0,000121;;6;1000000;187;0,000187;;6;1000000;248;0,000248
7;1000000;119;0,000119;;7;1000000;171;0,000171;;7;1000000;188;0,000188
8;1000000;119;0,000119;;8;1000000;153;0,000153;;8;1000000;182;0,000182
9;1000000;118;0,000118;;9;1000000;144;0,000144;;9;1000000;168;0,000168
10;1000000;128;0,000128;;10;1000000;144;0,000144;;10;1000000;159;0,000159
11;1000000;141;0,000141;;11;1000000;142;0,000142;;11;1000000;150;0,00015
12;1000000;130;0,00013;;12;1000000;139;0,000139;;12;1000000;161;0,000161
13;1000000;105;0,000105;;13;1000000;139;0,000139;;13;1000000;151;0,000151
14;1000000;115;0,000115;;14;1000000;135;0,000135;;14;1000000;156;0,000156
15;1000000;195;0,000195;;15;1000000;140;0,00014;;15;1000000;144;0,000144
16;1000000;216;0,000216;;16;1000000;140;0,00014;;16;1000000;158;0,000158
17;1000000;133;0,000133;;17;1000000;143;0,000143;;17;1000000;156;0,000156
18;1000000;221;0,000221;;18;1000000;142;0,000142;;18;1000000;146;0,000146
19;1000000;192;0,000192;;19;1000000;139;0,000139;;19;1000000;153;0,000153
20;1000000;148;0,000148;;20;1000000;136;0,000136;;20;1000000;153;0,000153
21;1000000;177;0,000177;;21;1000000;137;0,000137;;21;1000000;150;0,00015
22;1000000;171;0,000171;;22;1000000;140;0,00014;;22;1000000;153;0,000153
23;1000000;121;0,000121;;23;1000000;140;0,00014;;23;1000000;152;0,000152
24;1000000;123;0,000123;;24;1000000;136;0,000136;;24;1000000;155;0,000155
25;1000000;119;0,000119;;25;1000000;139;0,000139;;25;1000000;153;0,000153
26;1000000;120;0,00012;;26;1000000;136;0,000136;;26;1000000;145;0,000145
27;1000000;115;0,000115;;27;1000000;138;0,000138;;27;1000000;152;0,000152
