pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000;76;0.076
1;1000;87;0.087
2;1000;56;0.056
3;1000;55;0.055
4;1000;32;0.032
5;1000;59;0.059
6;1000;7;0.007
7;1000;36;0.036
8;1000;53;0.053
9;1000;62;0.062
10;1000;39;0.039
11;1000;65;0.065
12;1000;39;0.039
13;1000;57;0.057
14;1000;16;0.016
15;1000;14;0.014
16;1000;29;0.029
17;1000;24;0.024
18;1000;19;0.019
19;1000;67;0.067
20;1000;28;0.028
21;1000;10;0.01
22;1000;51;0.051
23;1000;50;0.05
24;1000;39;0.039
25;1000;70;0.07
26;1000;68;0.068
27;1000;11;0.011
28;1000;41;0.041
29;1000;58;0.058
30;1000;52;0.052
31;1000;3;0.003
32;1000;47;0.047
33;1000;24;0.024
34;1000;33;0.033
35;1000;9;0.009
36;1000;23;0.023
37;1000;76;0.076
38;1000;24;0.024
39;1000;7;0.007
40;1000;32;0.032
41;1000;33;0.033
42;1000;6;0.006
43;1000;68;0.068
44;1000;68;0.068
45;1000;15;0.015
46;1000;64;0.064
47;1000;6;0.006
48;1000;30;0.03
49;1000;27;0.027
50;1000;15;0.015
51;1000;1;0.001
52;1000;2;0.002
53;1000;17;0.017
54;1000;50;0.05
55;1000;68;0.068
56;1000;65;0.065
57;1000;83;0.083
58;1000;69;0.069
59;1000;20;0.02
60;1000;27;0.027
61;1000;89;0.089
62;1000;74;0.074
63;1000;63;0.063
64;1000;1;0.001
65;1000;1;0.001
66;1000;75;0.075
67;1000;68;0.068
68;1000;59;0.059
69;1000;30;0.03
70;1000;43;0.043
71;1000;56;0.056
72;1000;70;0.07
73;1000;53;0.053
74;1000;1;0.001
75;1000;85;0.085
76;1000;47;0.047
77;1000;74;0.074
78;1000;40;0.04
79;1000;34;0.034
80;1000;51;0.051
81;1000;18;0.018
82;1000;73;0.073
83;1000;17;0.017
84;1000;64;0.064
85;1000;52;0.052
86;1000;32;0.032
87;1000;36;0.036
88;1000;55;0.055
89;1000;3;0.003
90;1000;6;0.006
91;1000;35;0.035
92;1000;41;0.041
93;1000;33;0.033
94;1000;74;0.074
95;1000;43;0.043
96;1000;20;0.02
97;1000;23;0.023
98;1000;54;0.054
99;1000;91;0.091
100;1000;56;0.056
101;1000;66;0.066
102;1000;36;0.036
103;1000;1;0.001
104;1000;7;0.007
105;1000;62;0.062
106;1000;48;0.048
107;1000;38;0.038
108;1000;70;0.07
109;1000;37;0.037
110;1000;58;0.058
111;1000;49;0.049
112;1000;47;0.047
113;1000;34;0.034
114;1000;92;0.092
115;1000;86;0.086
116;1000;48;0.048
117;1000;20;0.02
118;1000;3;0.003
119;1000;23;0.023
120;1000;22;0.022
121;1000;19;0.019
122;1000;19;0.019
123;1000;55;0.055
124;1000;30;0.03
125;1000;36;0.036
126;1000;21;0.021
127;1000;69;0.069
128;1000;52;0.052
129;1000;8;0.008
130;1000;49;0.049
131;1000;43;0.043
132;1000;47;0.047
133;1000;24;0.024
134;1000;9;0.009
135;1000;87;0.087
136;1000;14;0.014
137;1000;85;0.085
138;1000;5;0.005
139;1000;71;0.071
140;1000;20;0.02
141;1000;39;0.039
142;1000;11;0.011
143;1000;19;0.019
144;1000;44;0.044
145;1000;76;0.076
146;1000;72;0.072
147;1000;21;0.021
148;1000;23;0.023
149;1000;54;0.054
150;1000;43;0.043
151;1000;34;0.034
152;1000;29;0.029
153;1000;15;0.015
154;1000;45;0.045
155;1000;54;0.054
156;1000;18;0.018
157;1000;80;0.08
158;1000;36;0.036
159;1000;86;0.086
160;1000;48;0.048
161;1000;6;0.006
162;1000;74;0.074
163;1000;9;0.009
164;1000;80;0.08
165;1000;18;0.018
166;1000;42;0.042
167;1000;69;0.069
168;1000;47;0.047
169;1000;88;0.088
170;1000;23;0.023
171;1000;33;0.033
172;1000;10;0.01
173;1000;17;0.017
174;1000;24;0.024
175;1000;27;0.027
176;1000;22;0.022
177;1000;58;0.058
178;1000;4;0.004
179;1000;28;0.028
180;1000;59;0.059
181;1000;10;0.01
182;1000;7;0.007
183;1000;37;0.037
184;1000;21;0.021
185;1000;37;0.037
186;1000;8;0.008
187;1000;20;0.02
188;1000;16;0.016
189;1000;5;0.005
190;1000;6;0.006
191;1000;36;0.036
