pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;214;0.000214
1;1000000;175;0.000175
2;1000000;183;0.000183
3;1000000;161;0.000161
4;1000000;154;0.000154
5;1000000;174;0.000174
6;1000000;161;0.000161
7;1000000;157;0.000157
8;1000000;154;0.000154
9;1000000;131;0.000131
10;1000000;166;0.000166
11;1000000;233;0.000233
12;1000000;227;0.000227
13;1000000;227;0.000227
14;1000000;211;0.000211
15;1000000;205;0.000205
16;1000000;228;0.000228
17;1000000;214;0.000214
18;1000000;221;0.000221
19;1000000;246;0.000246
20;1000000;261;0.000261
21;1000000;285;0.000285
22;1000000;253;0.000253
23;1000000;240;0.00024
24;1000000;264;0.000264
25;1000000;224;0.000224
26;1000000;275;0.000275
27;1000000;220;0.00022
28;1000000;201;0.000201
29;1000000;224;0.000224
30;1000000;231;0.000231
31;1000000;250;0.00025
32;1000000;201;0.000201
33;1000000;217;0.000217
34;1000000;210;0.00021
35;1000000;254;0.000254
36;1000000;267;0.000267
37;1000000;239;0.000239
38;1000000;238;0.000238
39;1000000;236;0.000236
40;1000000;257;0.000257
41;1000000;211;0.000211
42;1000000;226;0.000226
43;1000000;239;0.000239
44;1000000;219;0.000219
45;1000000;245;0.000245
46;1000000;213;0.000213
47;1000000;214;0.000214
48;1000000;226;0.000226
49;1000000;226;0.000226
50;1000000;223;0.000223
51;1000000;205;0.000205
52;1000000;211;0.000211
53;1000000;226;0.000226
54;1000000;213;0.000213
55;1000000;228;0.000228
56;1000000;214;0.000214
57;1000000;231;0.000231
58;1000000;233;0.000233
59;1000000;242;0.000242
60;1000000;242;0.000242
61;1000000;212;0.000212
62;1000000;230;0.00023
63;1000000;143;0.000143
64;1000000;144;0.000144
65;1000000;150;0.00015
66;1000000;143;0.000143
67;1000000;145;0.000145
68;1000000;140;0.00014
69;1000000;148;0.000148
70;1000000;149;0.000149
71;1000000;148;0.000148
72;1000000;148;0.000148
73;1000000;176;0.000176
74;1000000;153;0.000153
75;1000000;142;0.000142
76;1000000;144;0.000144
77;1000000;148;0.000148
78;1000000;148;0.000148
79;1000000;223;0.000223
80;1000000;164;0.000164
81;1000000;180;0.00018
82;1000000;171;0.000171
83;1000000;211;0.000211
84;1000000;181;0.000181
85;1000000;197;0.000197
86;1000000;191;0.000191
87;1000000;187;0.000187
88;1000000;164;0.000164
89;1000000;194;0.000194
90;1000000;173;0.000173
91;1000000;165;0.000165
92;1000000;172;0.000172
93;1000000;169;0.000169
94;1000000;216;0.000216
95;1000000;243;0.000243
96;1000000;214;0.000214
97;1000000;180;0.00018
98;1000000;163;0.000163
99;1000000;187;0.000187
100;1000000;163;0.000163
101;1000000;160;0.00016
102;1000000;156;0.000156
103;1000000;165;0.000165
104;1000000;174;0.000174
105;1000000;187;0.000187
106;1000000;163;0.000163
107;1000000;175;0.000175
108;1000000;169;0.000169
109;1000000;176;0.000176
110;1000000;165;0.000165
111;1000000;156;0.000156
112;1000000;158;0.000158
113;1000000;158;0.000158
114;1000000;171;0.000171
115;1000000;161;0.000161
116;1000000;154;0.000154
117;1000000;158;0.000158
118;1000000;158;0.000158
119;1000000;158;0.000158
120;1000000;167;0.000167
121;1000000;170;0.00017
122;1000000;183;0.000183
123;1000000;173;0.000173
124;1000000;174;0.000174
125;1000000;148;0.000148
126;1000000;177;0.000177
127;1000000;164;0.000164
128;1000000;149;0.000149
129;1000000;205;0.000205
130;1000000;179;0.000179
131;1000000;178;0.000178
132;1000000;155;0.000155
133;1000000;151;0.000151
134;1000000;163;0.000163
135;1000000;167;0.000167
136;1000000;157;0.000157
137;1000000;147;0.000147
138;1000000;152;0.000152
139;1000000;155;0.000155
140;1000000;152;0.000152
141;1000000;152;0.000152
142;1000000;149;0.000149
143;1000000;148;0.000148
144;1000000;154;0.000154
145;1000000;150;0.00015
146;1000000;156;0.000156
147;1000000;151;0.000151
148;1000000;151;0.000151
149;1000000;159;0.000159
150;1000000;152;0.000152
151;1000000;144;0.000144
152;1000000;146;0.000146
153;1000000;151;0.000151
154;1000000;149;0.000149
155;1000000;145;0.000145
156;1000000;149;0.000149
157;1000000;147;0.000147
158;1000000;150;0.00015
159;1000000;145;0.000145
160;1000000;147;0.000147
161;1000000;149;0.000149
162;1000000;146;0.000146
163;1000000;149;0.000149
164;1000000;147;0.000147
165;1000000;145;0.000145
166;1000000;166;0.000166
167;1000000;153;0.000153
168;1000000;148;0.000148
169;1000000;145;0.000145
170;1000000;144;0.000144
171;1000000;152;0.000152
172;1000000;144;0.000144
173;1000000;150;0.00015
174;1000000;150;0.00015
175;1000000;153;0.000153
176;1000000;148;0.000148
177;1000000;152;0.000152
178;1000000;176;0.000176
179;1000000;150;0.00015
180;1000000;180;0.00018
181;1000000;182;0.000182
182;1000000;203;0.000203
183;1000000;182;0.000182
184;1000000;169;0.000169
185;1000000;160;0.00016
186;1000000;173;0.000173
187;1000000;179;0.000179
188;1000000;171;0.000171
189;1000000;177;0.000177
190;1000000;164;0.000164
191;1000000;166;0.000166
192;1000000;173;0.000173
193;1000000;163;0.000163
194;1000000;179;0.000179
195;1000000;178;0.000178
196;1000000;174;0.000174
197;1000000;176;0.000176
198;1000000;190;0.00019
199;1000000;160;0.00016
