pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000000;107;0.000107
1;1000000;179;0.000179
2;1000000;171;0.000171
3;1000000;192;0.000192
4;1000000;171;0.000171
5;1000000;188;0.000188
6;1000000;187;0.000187
7;1000000;171;0.000171
8;1000000;153;0.000153
9;1000000;144;0.000144
10;1000000;144;0.000144
11;1000000;142;0.000142
12;1000000;139;0.000139
13;1000000;139;0.000139
14;1000000;135;0.000135
15;1000000;140;0.00014
16;1000000;140;0.00014
17;1000000;143;0.000143
18;1000000;142;0.000142
19;1000000;139;0.000139
20;1000000;136;0.000136
21;1000000;137;0.000137
22;1000000;140;0.00014
23;1000000;140;0.00014
24;1000000;136;0.000136
25;1000000;139;0.000139
26;1000000;136;0.000136
27;1000000;138;0.000138
28;1000000;141;0.000141
29;1000000;138;0.000138
30;1000000;138;0.000138
31;1000000;141;0.000141
32;1000000;137;0.000137
33;1000000;138;0.000138
34;1000000;136;0.000136
35;1000000;139;0.000139
36;1000000;135;0.000135
37;1000000;143;0.000143
38;1000000;154;0.000154
39;1000000;142;0.000142
40;1000000;143;0.000143
41;1000000;142;0.000142
42;1000000;138;0.000138
43;1000000;144;0.000144
44;1000000;160;0.00016
45;1000000;178;0.000178
46;1000000;195;0.000195
47;1000000;190;0.00019
48;1000000;184;0.000184
49;1000000;185;0.000185
50;1000000;175;0.000175
51;1000000;180;0.00018
52;1000000;184;0.000184
53;1000000;183;0.000183
54;1000000;181;0.000181
55;1000000;177;0.000177
56;1000000;204;0.000204
57;1000000;176;0.000176
58;1000000;200;0.0002
59;1000000;436;0.000436
60;1000000;482;0.000482
61;1000000;461;0.000461
62;1000000;473;0.000473
63;1000000;464;0.000464
64;1000000;494;0.000494
65;1000000;526;0.000526
66;1000000;567;0.000567
67;1000000;309;0.000309
68;1000000;308;0.000308
69;1000000;282;0.000282
70;1000000;271;0.000271
71;1000000;280;0.00028
72;1000000;297;0.000297
73;1000000;282;0.000282
74;1000000;257;0.000257
75;1000000;269;0.000269
76;1000000;254;0.000254
77;1000000;287;0.000287
78;1000000;287;0.000287
79;1000000;277;0.000277
80;1000000;273;0.000273
81;1000000;279;0.000279
82;1000000;290;0.00029
83;1000000;275;0.000275
84;1000000;272;0.000272
85;1000000;249;0.000249
86;1000000;249;0.000249
87;1000000;262;0.000262
88;1000000;246;0.000246
89;1000000;255;0.000255
90;1000000;302;0.000302
91;1000000;268;0.000268
92;1000000;208;0.000208
93;1000000;150;0.00015
94;1000000;157;0.000157
95;1000000;146;0.000146
96;1000000;157;0.000157
97;1000000;171;0.000171
98;1000000;166;0.000166
99;1000000;182;0.000182
100;1000000;145;0.000145
101;1000000;157;0.000157
102;1000000;154;0.000154
103;1000000;183;0.000183
104;1000000;159;0.000159
105;1000000;150;0.00015
106;1000000;163;0.000163
107;1000000;164;0.000164
108;1000000;183;0.000183
109;1000000;199;0.000199
110;1000000;148;0.000148
111;1000000;154;0.000154
112;1000000;276;0.000276
113;1000000;277;0.000277
114;1000000;245;0.000245
115;1000000;328;0.000328
116;1000000;312;0.000312
117;1000000;256;0.000256
118;1000000;282;0.000282
119;1000000;215;0.000215
120;1000000;237;0.000237
121;1000000;263;0.000263
122;1000000;268;0.000268
123;1000000;235;0.000235
124;1000000;214;0.000214
125;1000000;202;0.000202
126;1000000;226;0.000226
127;1000000;264;0.000264
128;1000000;187;0.000187
129;1000000;207;0.000207
130;1000000;184;0.000184
131;1000000;204;0.000204
132;1000000;191;0.000191
133;1000000;178;0.000178
134;1000000;195;0.000195
135;1000000;188;0.000188
136;1000000;183;0.000183
137;1000000;173;0.000173
138;1000000;202;0.000202
139;1000000;169;0.000169
140;1000000;168;0.000168
141;1000000;189;0.000189
142;1000000;179;0.000179
143;1000000;181;0.000181
144;1000000;188;0.000188
145;1000000;159;0.000159
146;1000000;174;0.000174
147;1000000;168;0.000168
148;1000000;189;0.000189
149;1000000;217;0.000217
150;1000000;191;0.000191
151;1000000;179;0.000179
152;1000000;182;0.000182
153;1000000;189;0.000189
154;1000000;174;0.000174
155;1000000;174;0.000174
156;1000000;187;0.000187
157;1000000;176;0.000176
158;1000000;158;0.000158
159;1000000;157;0.000157
160;1000000;185;0.000185
161;1000000;152;0.000152
162;1000000;165;0.000165
163;1000000;207;0.000207
164;1000000;206;0.000206
165;1000000;193;0.000193
166;1000000;217;0.000217
167;1000000;153;0.000153
168;1000000;191;0.000191
169;1000000;176;0.000176
170;1000000;193;0.000193
171;1000000;243;0.000243
172;1000000;197;0.000197
173;1000000;237;0.000237
174;1000000;269;0.000269
175;1000000;276;0.000276
176;1000000;242;0.000242
177;1000000;292;0.000292
178;1000000;265;0.000265
179;1000000;289;0.000289
180;1000000;212;0.000212
181;1000000;230;0.00023
182;1000000;241;0.000241
183;1000000;227;0.000227
184;1000000;221;0.000221
185;1000000;216;0.000216
186;1000000;215;0.000215
187;1000000;228;0.000228
188;1000000;202;0.000202
189;1000000;241;0.000241
190;1000000;212;0.000212
191;1000000;189;0.000189
192;1000000;225;0.000225
193;1000000;196;0.000196
194;1000000;201;0.000201
195;1000000;215;0.000215
196;1000000;203;0.000203
197;1000000;177;0.000177
198;1000000;189;0.000189
199;1000000;194;0.000194
