pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000;100;0.1
1;1000;29;0.029
2;1000;120;0.12
3;1000;12;0.012
4;1000;71;0.071
5;1000;74;0.074
6;1000;116;0.116
7;1000;106;0.106
8;1000;50;0.05
9;1000;95;0.095
10;1000;32;0.032
11;1000;120;0.12
12;1000;2;0.002
13;1000;119;0.119
14;1000;43;0.043
15;1000;96;0.096
16;1000;52;0.052
17;1000;60;0.06
18;1000;22;0.022
19;1000;109;0.109
20;1000;106;0.106
21;1000;103;0.103
22;1000;35;0.035
23;1000;30;0.03
24;1000;103;0.103
25;1000;62;0.062
26;1000;82;0.082
27;1000;21;0.021
28;1000;1;0.001
29;1000;22;0.022
30;1000;72;0.072
31;1000;41;0.041
32;1000;92;0.092
33;1000;84;0.084
34;1000;7;0.007
35;1000;84;0.084
36;1000;86;0.086
37;1000;51;0.051
38;1000;56;0.056
39;1000;74;0.074
40;1000;4;0.004
41;1000;23;0.023
42;1000;88;0.088
43;1000;36;0.036
44;1000;44;0.044
45;1000;39;0.039
46;1000;28;0.028
47;1000;20;0.02
48;1000;23;0.023
49;1000;83;0.083
50;1000;83;0.083
51;1000;83;0.083
52;1000;23;0.023
53;1000;81;0.081
54;1000;82;0.082
55;1000;3;0.003
56;1000;22;0.022
57;1000;24;0.024
58;1000;74;0.074
59;1000;61;0.061
60;1000;35;0.035
61;1000;88;0.088
62;1000;93;0.093
63;1000;2;0.002
64;1000;10;0.01
65;1000;20;0.02
66;1000;37;0.037
67;1000;88;0.088
68;1000;85;0.085
69;1000;84;0.084
70;1000;85;0.085
71;1000;87;0.087
72;1000;1;0.001
73;1000;13;0.013
74;1000;2;0.002
75;1000;16;0.016
76;1000;3;0.003
77;1000;85;0.085
78;1000;10;0.01
79;1000;87;0.087
80;1000;6;0.006
81;1000;85;0.085
82;1000;103;0.103
83;1000;70;0.07
84;1000;69;0.069
85;1000;93;0.093
86;1000;64;0.064
87;1000;91;0.091
88;1000;9;0.009
89;1000;86;0.086
90;1000;105;0.105
91;1000;58;0.058
92;1000;13;0.013
93;1000;42;0.042
94;1000;20;0.02
95;1000;14;0.014
96;1000;96;0.096
97;1000;83;0.083
98;1000;95;0.095
99;1000;88;0.088
100;1000;3;0.003
101;1000;77;0.077
102;1000;84;0.084
103;1000;81;0.081
104;1000;89;0.089
105;1000;98;0.098
106;1000;83;0.083
107;1000;11;0.011
108;1000;2;0.002
109;1000;15;0.015
110;1000;1;0.001
111;1000;81;0.081
112;1000;82;0.082
113;1000;83;0.083
114;1000;84;0.084
115;1000;95;0.095
116;1000;22;0.022
117;1000;27;0.027
118;1000;96;0.096
119;1000;2;0.002
120;1000;84;0.084
121;1000;81;0.081
122;1000;30;0.03
123;1000;84;0.084
124;1000;10;0.01
125;1000;81;0.081
126;1000;66;0.066
127;1000;81;0.081
128;1000;3;0.003
129;1000;84;0.084
130;1000;15;0.015
131;1000;18;0.018
132;1000;62;0.062
133;1000;24;0.024
134;1000;19;0.019
135;1000;71;0.071
136;1000;13;0.013
137;1000;94;0.094
138;1000;104;0.104
139;1000;91;0.091
140;1000;64;0.064
141;1000;92;0.092
142;1000;84;0.084
143;1000;4;0.004
144;1000;1;0.001
145;1000;48;0.048
146;1000;62;0.062
147;1000;0;0
148;1000;15;0.015
149;1000;80;0.08
150;1000;14;0.014
151;1000;51;0.051
152;1000;80;0.08
153;1000;101;0.101
154;1000;50;0.05
155;1000;57;0.057
156;1000;61;0.061
157;1000;82;0.082
158;1000;82;0.082
159;1000;86;0.086
160;1000;59;0.059
161;1000;32;0.032
162;1000;38;0.038
163;1000;88;0.088
164;1000;23;0.023
165;1000;62;0.062
166;1000;82;0.082
167;1000;16;0.016
168;1000;45;0.045
169;1000;91;0.091
170;1000;32;0.032
171;1000;92;0.092
172;1000;83;0.083
173;1000;85;0.085
174;1000;36;0.036
175;1000;82;0.082
176;1000;67;0.067
177;1000;12;0.012
178;1000;7;0.007
179;1000;16;0.016
180;1000;55;0.055
181;1000;86;0.086
182;1000;42;0.042
183;1000;20;0.02
184;1000;5;0.005
185;1000;94;0.094
186;1000;78;0.078
187;1000;21;0.021
188;1000;6;0.006
189;1000;74;0.074
190;1000;53;0.053
191;1000;12;0.012
192;1000;13;0.013
193;1000;82;0.082
194;1000;85;0.085
195;1000;85;0.085
196;1000;7;0.007
197;1000;83;0.083
198;1000;50;0.05
199;1000;12;0.012
200;1000;16;0.016
201;1000;28;0.028
202;1000;10;0.01
203;1000;88;0.088
204;1000;87;0.087
205;1000;28;0.028
206;1000;34;0.034
207;1000;46;0.046
208;1000;79;0.079
209;1000;95;0.095
210;1000;37;0.037
211;1000;88;0.088
212;1000;82;0.082
213;1000;49;0.049
214;1000;83;0.083
215;1000;84;0.084
216;1000;4;0.004
217;1000;51;0.051
218;1000;86;0.086
219;1000;85;0.085
220;1000;23;0.023
221;1000;85;0.085
222;1000;57;0.057
223;1000;3;0.003
224;1000;11;0.011
225;1000;84;0.084
226;1000;31;0.031
227;1000;0;0
228;1000;86;0.086
229;1000;2;0.002
230;1000;86;0.086
231;1000;83;0.083
232;1000;84;0.084
233;1000;67;0.067
234;1000;8;0.008
235;1000;82;0.082
236;1000;84;0.084
237;1000;2;0.002
238;1000;82;0.082
239;1000;86;0.086
240;1000;7;0.007
241;1000;83;0.083
242;1000;11;0.011
243;1000;82;0.082
244;1000;88;0.088
245;1000;7;0.007
246;1000;88;0.088
247;1000;87;0.087
248;1000;62;0.062
249;1000;83;0.083
250;1000;6;0.006
251;1000;83;0.083
252;1000;83;0.083
253;1000;51;0.051
254;1000;36;0.036
255;1000;81;0.081
256;1000;64;0.064
257;1000;26;0.026
258;1000;84;0.084
259;1000;9;0.009
260;1000;31;0.031
261;1000;46;0.046
262;1000;14;0.014
263;1000;80;0.08
264;1000;55;0.055
