pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000;35;0.035
1;1000;90;0.09
2;1000;94;0.094
3;1000;6;0.006
4;1000;3;0.003
5;1000;99;0.099
6;1000;99;0.099
7;1000;37;0.037
8;1000;17;0.017
9;1000;14;0.014
10;1000;103;0.103
11;1000;112;0.112
12;1000;103;0.103
13;1000;100;0.1
14;1000;67;0.067
15;1000;112;0.112
16;1000;124;0.124
17;1000;103;0.103
18;1000;85;0.085
19;1000;89;0.089
20;1000;110;0.11
21;1000;99;0.099
22;1000;5;0.005
23;1000;34;0.034
24;1000;79;0.079
25;1000;26;0.026
26;1000;33;0.033
27;1000;77;0.077
28;1000;26;0.026
29;1000;1;0.001
30;1000;76;0.076
31;1000;71;0.071
32;1000;12;0.012
33;1000;48;0.048
34;1000;36;0.036
35;1000;74;0.074
36;1000;7;0.007
37;1000;3;0.003
38;1000;1;0.001
39;1000;84;0.084
40;1000;74;0.074
41;1000;72;0.072
42;1000;57;0.057
43;1000;61;0.061
44;1000;34;0.034
45;1000;8;0.008
46;1000;51;0.051
47;1000;15;0.015
48;1000;73;0.073
49;1000;40;0.04
50;1000;74;0.074
51;1000;96;0.096
52;1000;16;0.016
53;1000;3;0.003
54;1000;96;0.096
55;1000;2;0.002
56;1000;18;0.018
57;1000;7;0.007
58;1000;78;0.078
59;1000;10;0.01
60;1000;28;0.028
61;1000;80;0.08
62;1000;102;0.102
63;1000;76;0.076
64;1000;13;0.013
65;1000;0;0
66;1000;106;0.106
67;1000;78;0.078
68;1000;76;0.076
69;1000;51;0.051
70;1000;36;0.036
71;1000;33;0.033
72;1000;19;0.019
73;1000;78;0.078
74;1000;14;0.014
75;1000;95;0.095
76;1000;46;0.046
77;1000;18;0.018
78;1000;50;0.05
79;1000;14;0.014
80;1000;12;0.012
81;1000;80;0.08
82;1000;85;0.085
83;1000;25;0.025
84;1000;10;0.01
85;1000;6;0.006
86;1000;1;0.001
87;1000;72;0.072
88;1000;25;0.025
89;1000;28;0.028
90;1000;83;0.083
91;1000;6;0.006
92;1000;12;0.012
93;1000;80;0.08
94;1000;66;0.066
95;1000;11;0.011
96;1000;79;0.079
97;1000;12;0.012
98;1000;6;0.006
99;1000;8;0.008
100;1000;3;0.003
101;1000;22;0.022
102;1000;27;0.027
103;1000;39;0.039
104;1000;91;0.091
105;1000;9;0.009
106;1000;9;0.009
107;1000;81;0.081
108;1000;1;0.001
109;1000;88;0.088
110;1000;74;0.074
111;1000;43;0.043
112;1000;14;0.014
113;1000;51;0.051
114;1000;82;0.082
115;1000;74;0.074
116;1000;72;0.072
117;1000;62;0.062
118;1000;78;0.078
119;1000;2;0.002
120;1000;19;0.019
121;1000;40;0.04
122;1000;85;0.085
123;1000;70;0.07
124;1000;92;0.092
125;1000;75;0.075
126;1000;78;0.078
127;1000;50;0.05
128;1000;75;0.075
129;1000;1;0.001
130;1000;78;0.078
131;1000;72;0.072
132;1000;74;0.074
133;1000;46;0.046
134;1000;44;0.044
135;1000;64;0.064
136;1000;71;0.071
137;1000;79;0.079
138;1000;77;0.077
139;1000;42;0.042
140;1000;57;0.057
141;1000;17;0.017
142;1000;16;0.016
143;1000;11;0.011
144;1000;44;0.044
145;1000;74;0.074
146;1000;44;0.044
147;1000;73;0.073
148;1000;1;0.001
149;1000;4;0.004
150;1000;87;0.087
151;1000;72;0.072
152;1000;36;0.036
153;1000;5;0.005
154;1000;8;0.008
155;1000;79;0.079
156;1000;80;0.08
157;1000;22;0.022
158;1000;13;0.013
159;1000;55;0.055
160;1000;36;0.036
161;1000;81;0.081
162;1000;82;0.082
163;1000;13;0.013
164;1000;40;0.04
165;1000;15;0.015
166;1000;71;0.071
167;1000;43;0.043
168;1000;49;0.049
169;1000;70;0.07
170;1000;47;0.047
171;1000;76;0.076
172;1000;38;0.038
173;1000;50;0.05
174;1000;73;0.073
175;1000;20;0.02
176;1000;25;0.025
177;1000;0;0
178;1000;72;0.072
179;1000;72;0.072
180;1000;77;0.077
181;1000;91;0.091
182;1000;32;0.032
183;1000;71;0.071
184;1000;69;0.069
185;1000;13;0.013
186;1000;43;0.043
187;1000;77;0.077
188;1000;52;0.052
189;1000;58;0.058
190;1000;78;0.078
191;1000;60;0.06
192;1000;71;0.071
193;1000;72;0.072
194;1000;23;0.023
195;1000;46;0.046
196;1000;74;0.074
197;1000;82;0.082
198;1000;44;0.044
199;1000;79;0.079
200;1000;66;0.066
201;1000;13;0.013
202;1000;47;0.047
203;1000;73;0.073
204;1000;73;0.073
205;1000;35;0.035
206;1000;27;0.027
207;1000;74;0.074
208;1000;62;0.062
209;1000;27;0.027
210;1000;10;0.01
211;1000;41;0.041
212;1000;74;0.074
213;1000;17;0.017
214;1000;72;0.072
215;1000;74;0.074
216;1000;74;0.074
217;1000;90;0.09
218;1000;25;0.025
219;1000;82;0.082
220;1000;55;0.055
221;1000;13;0.013
222;1000;65;0.065
223;1000;73;0.073
224;1000;21;0.021
225;1000;30;0.03
226;1000;34;0.034
227;1000;25;0.025
228;1000;74;0.074
229;1000;76;0.076
230;1000;8;0.008
231;1000;13;0.013
232;1000;70;0.07
233;1000;12;0.012
234;1000;75;0.075
235;1000;22;0.022
236;1000;34;0.034
237;1000;26;0.026
238;1000;28;0.028
239;1000;85;0.085
240;1000;76;0.076
241;1000;72;0.072
242;1000;81;0.081
243;1000;77;0.077
244;1000;26;0.026
245;1000;77;0.077
246;1000;81;0.081
247;1000;86;0.086
248;1000;91;0.091
249;1000;32;0.032
250;1000;40;0.04
251;1000;23;0.023
252;1000;24;0.024
253;1000;33;0.033
254;1000;85;0.085
255;1000;44;0.044
256;1000;86;0.086
257;1000;83;0.083
258;1000;1;0.001
259;1000;78;0.078
260;1000;84;0.084
261;1000;46;0.046
262;1000;87;0.087
263;1000;49;0.049
264;1000;55;0.055
265;1000;80;0.08
266;1000;86;0.086
267;1000;78;0.078
268;1000;85;0.085
269;1000;87;0.087
270;1000;74;0.074
271;1000;2;0.002
272;1000;84;0.084
273;1000;4;0.004
274;1000;72;0.072
275;1000;6;0.006
276;1000;79;0.079
277;1000;3;0.003
278;1000;7;0.007
279;1000;64;0.064
280;1000;49;0.049
281;1000;91;0.091
282;1000;30;0.03
283;1000;59;0.059
284;1000;66;0.066
285;1000;69;0.069
286;1000;35;0.035
287;1000;53;0.053
288;1000;34;0.034
289;1000;72;0.072
290;1000;94;0.094
291;1000;9;0.009
292;1000;46;0.046
293;1000;92;0.092
294;1000;87;0.087
295;1000;47;0.047
296;1000;33;0.033
297;1000;36;0.036
298;1000;26;0.026
299;1000;77;0.077
300;1000;51;0.051
301;1000;87;0.087
302;1000;3;0.003
303;1000;65;0.065
304;1000;83;0.083
305;1000;74;0.074
306;1000;83;0.083
307;1000;99;0.099
308;1000;70;0.07
309;1000;97;0.097
310;1000;1;0.001
311;1000;77;0.077
312;1000;81;0.081
313;1000;14;0.014
314;1000;30;0.03
315;1000;59;0.059
316;1000;81;0.081
317;1000;77;0.077
318;1000;13;0.013
319;1000;71;0.071
320;1000;80;0.08
321;1000;74;0.074
322;1000;81;0.081
323;1000;44;0.044
324;1000;14;0.014
325;1000;74;0.074
326;1000;27;0.027
327;1000;76;0.076
328;1000;42;0.042
329;1000;72;0.072
330;1000;76;0.076
331;1000;9;0.009
332;1000;75;0.075
333;1000;74;0.074
334;1000;38;0.038
335;1000;68;0.068
336;1000;21;0.021
337;1000;74;0.074
338;1000;18;0.018
339;1000;74;0.074
340;1000;42;0.042
341;1000;32;0.032
342;1000;98;0.098
343;1000;101;0.101
344;1000;81;0.081
345;1000;77;0.077
346;1000;32;0.032
347;1000;84;0.084
348;1000;58;0.058
349;1000;77;0.077
350;1000;28;0.028
351;1000;0;0
352;1000;60;0.06
353;1000;75;0.075
354;1000;43;0.043
355;1000;32;0.032
356;1000;75;0.075
357;1000;11;0.011
358;1000;72;0.072
359;1000;84;0.084
360;1000;91;0.091
361;1000;3;0.003
362;1000;36;0.036
363;1000;0;0
364;1000;7;0.007
365;1000;76;0.076
366;1000;65;0.065
367;1000;34;0.034
368;1000;78;0.078
369;1000;89;0.089
370;1000;17;0.017
371;1000;55;0.055
372;1000;18;0.018
373;1000;7;0.007
374;1000;40;0.04
375;1000;83;0.083
376;1000;1;0.001
377;1000;8;0.008
378;1000;75;0.075
379;1000;29;0.029
380;1000;11;0.011
381;1000;68;0.068
382;1000;75;0.075
383;1000;27;0.027
384;1000;87;0.087
385;1000;31;0.031
386;1000;77;0.077
387;1000;16;0.016
388;1000;16;0.016
389;1000;46;0.046
390;1000;36;0.036
391;1000;14;0.014
392;1000;34;0.034
393;1000;75;0.075
394;1000;73;0.073
395;1000;6;0.006
396;1000;10;0.01
397;1000;47;0.047
398;1000;24;0.024
399;1000;57;0.057
400;1000;22;0.022
401;1000;1;0.001
402;1000;64;0.064
403;1000;6;0.006
404;1000;73;0.073
405;1000;79;0.079
406;1000;87;0.087
407;1000;6;0.006
408;1000;81;0.081
409;1000;9;0.009
410;1000;81;0.081
411;1000;81;0.081
412;1000;74;0.074
413;1000;35;0.035
414;1000;73;0.073
415;1000;44;0.044
416;1000;74;0.074
417;1000;59;0.059
418;1000;76;0.076
419;1000;6;0.006
420;1000;72;0.072
421;1000;76;0.076
422;1000;75;0.075
423;1000;23;0.023
424;1000;23;0.023
425;1000;5;0.005
426;1000;38;0.038
427;1000;6;0.006
428;1000;24;0.024
429;1000;79;0.079
430;1000;32;0.032
431;1000;54;0.054
432;1000;73;0.073
433;1000;59;0.059
434;1000;41;0.041
435;1000;75;0.075
436;1000;78;0.078
437;1000;70;0.07
438;1000;17;0.017
439;1000;74;0.074
440;1000;29;0.029
441;1000;8;0.008
442;1000;13;0.013
443;1000;10;0.01
444;1000;72;0.072
445;1000;72;0.072
446;1000;31;0.031
447;1000;90;0.09
448;1000;25;0.025
449;1000;5;0.005
450;1000;75;0.075
451;1000;23;0.023
452;1000;73;0.073
453;1000;8;0.008
454;1000;71;0.071
455;1000;41;0.041
456;1000;73;0.073
457;1000;16;0.016
458;1000;76;0.076
459;1000;23;0.023
460;1000;72;0.072
461;1000;68;0.068
462;1000;10;0.01
463;1000;70;0.07
464;1000;71;0.071
465;1000;34;0.034
466;1000;13;0.013
467;1000;69;0.069
468;1000;16;0.016
469;1000;63;0.063
470;1000;36;0.036
471;1000;48;0.048
472;1000;83;0.083
473;1000;70;0.07
474;1000;16;0.016
475;1000;10;0.01
476;1000;7;0.007
477;1000;47;0.047
478;1000;36;0.036
479;1000;90;0.09
480;1000;36;0.036
481;1000;71;0.071
482;1000;2;0.002
483;1000;95;0.095
484;1000;91;0.091
485;1000;54;0.054
486;1000;53;0.053
487;1000;84;0.084
488;1000;25;0.025
489;1000;76;0.076
490;1000;15;0.015
491;1000;76;0.076
492;1000;73;0.073
493;1000;40;0.04
494;1000;34;0.034
495;1000;61;0.061
496;1000;12;0.012
497;1000;13;0.013
498;1000;67;0.067
499;1000;24;0.024
500;1000;40;0.04
501;1000;10;0.01
502;1000;41;0.041
503;1000;49;0.049
504;1000;76;0.076
505;1000;59;0.059
506;1000;45;0.045
507;1000;75;0.075
508;1000;67;0.067
509;1000;78;0.078
510;1000;40;0.04
511;1000;24;0.024
512;1000;75;0.075
513;1000;48;0.048
514;1000;72;0.072
515;1000;71;0.071
516;1000;51;0.051
517;1000;72;0.072
518;1000;1;0.001
519;1000;84;0.084
520;1000;11;0.011
521;1000;14;0.014
522;1000;87;0.087
523;1000;37;0.037
524;1000;27;0.027
525;1000;59;0.059
526;1000;2;0.002
527;1000;75;0.075
528;1000;23;0.023
529;1000;80;0.08
530;1000;72;0.072
531;1000;41;0.041
532;1000;34;0.034
533;1000;47;0.047
534;1000;22;0.022
535;1000;75;0.075
536;1000;30;0.03
537;1000;19;0.019
538;1000;77;0.077
539;1000;75;0.075
540;1000;35;0.035
541;1000;76;0.076
542;1000;23;0.023
543;1000;9;0.009
544;1000;10;0.01
545;1000;75;0.075
546;1000;67;0.067
547;1000;64;0.064
548;1000;9;0.009
549;1000;21;0.021
550;1000;8;0.008
551;1000;9;0.009
552;1000;79;0.079
553;1000;82;0.082
554;1000;7;0.007
555;1000;37;0.037
556;1000;23;0.023
557;1000;30;0.03
558;1000;43;0.043
559;1000;11;0.011
560;1000;15;0.015
561;1000;51;0.051
562;1000;3;0.003
563;1000;77;0.077
564;1000;74;0.074
565;1000;35;0.035
566;1000;14;0.014
567;1000;73;0.073
568;1000;74;0.074
569;1000;8;0.008
570;1000;74;0.074
571;1000;77;0.077
572;1000;11;0.011
573;1000;37;0.037
574;1000;67;0.067
575;1000;81;0.081
576;1000;62;0.062
577;1000;74;0.074
578;1000;15;0.015
579;1000;22;0.022
580;1000;20;0.02
581;1000;40;0.04
582;1000;9;0.009
583;1000;15;0.015
584;1000;9;0.009
585;1000;72;0.072
586;1000;55;0.055
587;1000;80;0.08
588;1000;60;0.06
589;1000;76;0.076
590;1000;73;0.073
591;1000;2;0.002
592;1000;70;0.07
593;1000;82;0.082
594;1000;57;0.057
595;1000;55;0.055
596;1000;48;0.048
