pozycja;ilosc;czas ca³kowity(ms);czas/ilosc(ms)
0;1000;103;0.103
1;1000;26;0.026
2;1000;109;0.109
3;1000;108;0.108
4;1000;118;0.118
5;1000;111;0.111
6;1000;106;0.106
7;1000;82;0.082
8;1000;40;0.04
9;1000;88;0.088
10;1000;63;0.063
11;1000;26;0.026
12;1000;111;0.111
13;1000;90;0.09
14;1000;26;0.026
15;1000;93;0.093
16;1000;120;0.12
17;1000;27;0.027
18;1000;4;0.004
19;1000;99;0.099
20;1000;75;0.075
21;1000;81;0.081
22;1000;89;0.089
23;1000;73;0.073
24;1000;78;0.078
25;1000;49;0.049
26;1000;73;0.073
27;1000;53;0.053
28;1000;17;0.017
29;1000;13;0.013
30;1000;42;0.042
31;1000;81;0.081
32;1000;98;0.098
33;1000;9;0.009
34;1000;78;0.078
35;1000;72;0.072
36;1000;73;0.073
37;1000;72;0.072
38;1000;74;0.074
39;1000;10;0.01
40;1000;80;0.08
41;1000;26;0.026
42;1000;32;0.032
43;1000;66;0.066
44;1000;76;0.076
45;1000;2;0.002
46;1000;33;0.033
47;1000;36;0.036
48;1000;14;0.014
49;1000;34;0.034
50;1000;74;0.074
51;1000;65;0.065
52;1000;96;0.096
53;1000;78;0.078
54;1000;20;0.02
55;1000;73;0.073
56;1000;10;0.01
57;1000;78;0.078
58;1000;72;0.072
59;1000;61;0.061
60;1000;28;0.028
61;1000;78;0.078
62;1000;76;0.076
63;1000;75;0.075
64;1000;10;0.01
65;1000;33;0.033
66;1000;8;0.008
67;1000;61;0.061
68;1000;75;0.075
69;1000;85;0.085
70;1000;1;0.001
71;1000;86;0.086
72;1000;4;0.004
73;1000;69;0.069
74;1000;11;0.011
75;1000;77;0.077
76;1000;75;0.075
77;1000;27;0.027
78;1000;26;0.026
79;1000;78;0.078
80;1000;87;0.087
81;1000;78;0.078
82;1000;76;0.076
83;1000;77;0.077
84;1000;15;0.015
85;1000;65;0.065
86;1000;76;0.076
87;1000;36;0.036
88;1000;29;0.029
89;1000;79;0.079
90;1000;71;0.071
91;1000;75;0.075
92;1000;26;0.026
93;1000;74;0.074
94;1000;31;0.031
95;1000;75;0.075
96;1000;28;0.028
97;1000;74;0.074
98;1000;81;0.081
99;1000;75;0.075
100;1000;73;0.073
101;1000;81;0.081
102;1000;38;0.038
103;1000;4;0.004
104;1000;79;0.079
105;1000;88;0.088
106;1000;82;0.082
107;1000;74;0.074
108;1000;73;0.073
109;1000;70;0.07
110;1000;76;0.076
111;1000;83;0.083
112;1000;76;0.076
113;1000;34;0.034
114;1000;78;0.078
115;1000;27;0.027
116;1000;7;0.007
117;1000;24;0.024
118;1000;75;0.075
119;1000;20;0.02
120;1000;19;0.019
121;1000;76;0.076
122;1000;88;0.088
123;1000;23;0.023
124;1000;3;0.003
